ID,Datum_ontvangst,Product,Omschrijving,Antwoord_bedrijf,Omschrijving_lengte,Antwoord_lengte
2290288,2025-01-15,Kredietregistratie,XXXX was reinserted on my credit report after previously being deleted.,Closed with explanation,71,23
1638808,2023-11-04,Bankrekening,"Huntington bank is doing it again. 
They are using deceptive tactics and gaming the system also Reordering and rearranging purchases to collect overcharge fees from customersWhen ever you file a dispute, your dispute is in the trash bin and wont be approved in your favor, actually they will get the money back from the merchant but they will not let you have your money back, dont know if these guys are at all doing their job or just ripping off peopleI GOTCH YOU type of thingthe customer service stuff is horrible and their managers sitting all day long doing nothing than telling their stuff to say sorry or no to customers.",Closed with explanation,629,23
1374984,2023-05-14,Incasso,"Company ordered a local minnesota repossession agent to repo my car on a debt that was n't valid. The debt evidence/word that original creditor Chrysler Capital provided was n't a valid claim. The car was taken from my family 's drive way between the hours of XXXX on XXXX XXXX, 2015. Called the local police to report it stolen was then informed it was repossessed. Local cop called the company listed on his report and they gave him the number for where the order came from and told him I would have to call the XXXX company XXXX XXXX XXXX for more information. I called the company and asked for documentation and was told they did n't need to provide me any documents and to call the original creditor who wrote the debt off and closed all accounts I had with them. My car was taken without my consent and as of XX/XX/2015 is still at the XXXX XXXX XXXX lot in MN. With no listed Lien Holder, no debt owed, I 'm the owner of the car. No Contract and / or debt with XXXX XXXX XXXX or XXXX XXXXXXXX company XXXX XXXX XXXX XXXX XXXX refuses to release the car until they get permission from original creditor. Notices were faxed to Original Creditor, XXXX XXXX XXXX XXXX, and the third party company ; XXXX XXXX XX/XX/2015 and XX/XX/2015. Notarized copy by certified mail shortly after. No responses as of today XX/XX/2015. The car has still not been returned to me. 

Original complaint numbers XXXX and XXXX",Closed with explanation,1410,23
2325523,2025-02-03,Incasso,"This company called "" tecco Systems '' has been harassing me for over a month about a debt incurred way back in XX/XX/XXXX.One the first call. some lady just called me out of the blue and started yelling and screaming at me that I "" BETTER PAY! - you-d BETTER PAY ME! "" ... .I asked her to send me paperwork about what this was about.. 
I actually had to call back, to make sure this was a company, and not just some woman who may have got my credit report.Also, there was NO mention that the call was being recorded, and no disclaimer that "" this is an effort to collect a debt. '' etc, turns out this XXXX dollar debt was from a doctor..awy back in XX/XX/XXXX XXXX and ahllf years ago. I made arrangements with that doctor, and I do n't understand why this company is harassing me now. obviously, this was a case closed, years ago. 
I did now receive anything in the mail, as I had requested., they called and harassed me repeatedly, even on XX/XX/XXXX and XX/XX/XXXX.Today I answered their call, again stated that I neede a copy of why I owed this, they jut said they sent it. I never got it and I got screamed at again, by a woman named "" XXXX '' .she said "" look if you 're not gon na pay, we 'll just put this as a collection on your credit report '' I never said I was n't going to pay, I merely asked for validation oof the debt. 
I have always paid my debts. being screamed at over something that was resolved in XX/XX/XXXX, is deplorable. Still. no "" this call is from a collector.. '' disclaimer and I had to ask if this conversation was being recorded. she said no. I said, well this, conversation SHOULD be recorded ''. she yelled that they mailed me something on XX/XX/XXXX XXXX, no,,, I do n't hink so, I never got it. she told me that I had to email Them for them to email me a copy of whatever they sent me. Anyway ... .they are violating the fair debt collection practices in SO many ways. "" tecco systems ''",Closed with explanation,1926,23
1375617,2023-05-14,Incasso,"On XXXX XXXX 2015, at approximately XXXX CST, my wife received a call. The call was from a man, a representative of Capital Accounts ( XXXX ) who said his name was XXXX XXXX. He stated that he was calling about an alleged debt for me, XXXX XXXX. XXXX requested that my wife verify her identity. My wife, XXXX, refused to verify her identity to some strange man over the phone. Then XXXX gets the brilliant idea of asking my wife to verify the account holder and proceeds to release my entire social security number to an unverified third party over the phone. The debt was related to a medical office which I 've never entered. Further, upon contacting said medical office I was told that they do not have a record of my social security number and could n't have released it to the collection agency. 

In summary, I was contacted by "" XXXX XXXX '' of Capital Accounts ( XXXX ) about a debt that did n't belong to me. XXXX XXXX found and released my full social security number to a third party.",Closed with explanation,995,23
1440651,2023-06-26,Bankrekening,"My account was overdrawn, however I made a return to a store. When I checked my account to see if the credit had posted, I found that Suntrust had applied an extended overdraft fee. This fee XXXX the amount of {$36.00} if the account is overdrawn more than a week. This seems like a predatory practice, most people are paid bi-weekly. I have been a customer of Suntrust bank since 2010, and have direct deposit set up on my account. 
I went to the bank to speak with a representative and let him see the copy of my credit from the store. He said that it was pending, but he could not make the decision to issue a refund of the fee as a courtesy. He would email his manager, and his manager would make a decision upon his return. XXXX days later, the manager, XXXX XXXX, called me and informed me that because of my returned item ( an insurance check that automatically is paid from my account ), the overdraft was my fault and the bank was right in charging me the fees. He rudely hung up the phone as I tried to discuss my concerns. To have an extended overdraft fee is an excessive fee, which makes it more difficult for consumers to gain financial stability. My account was overdrawn by {$11.00}, I was charged a returned item fee of {$36.00}, then an additional extended overdraft fee of {$36.00}. 

This practice should not continue, and Suntrust should issue refunds of the extended overdraft fees.",Closed with monetary relief,1404,27
1829581,2024-03-12,Incasso,"I went in to work which is XXXX. A co-worker gave me a message that a friend that I knew named XXXX XXXX called from the number XXXX and to give him a call back. 

I do not know who XXXX XXXX is, but called the number anyway and was told that this was Quad Corp a debt collection agency.",Closed with non-monetary relief,287,31
1312224,2023-04-02,Incasso,I have asked this company multiple times for a copy of the contract that they said i signed. I have offered to send a copy of my drivers license to show i didnt sign for or authorize services with XXXX XXXX XXXX,Closed with explanation,211,23
1829722,2024-03-12,Hypotheek,"I have tried over and over for Citi Mortgage to give me a modification, they do n't play fair. I send them the information and they state that they do n't get the documentation and when they do affirm that they have received the documentation, they claim I do n't have all of the or I 'm missing some paperwork. This has gone on since XX/XX/XXXX and this is XX/XX/XXXX four years I 've had to deal with this company, every couple of weeks they change representatives so I have to start over with the paperwork. Each new representative states that I have re-send the same information that I 've already sent in. I have called and called trying to get the HARP, finally they did n't approve the HARP now I have sent in information for the HAMP, this time I sent the information with a content page so they ca n't say I did n't send every document. Now they are starting all over again with new representative and stating they have not received the information/documentation. 
They usually say call them, when I do, you ca n't speak with the person who is the representative on the letter they send. I leave a message but they will not call back. Each time I call I get someone one new. Now, I have had to file bankruptcy because they will not allow me to get an modification to ease the monthly payment. At this point I am tired of contacting them, they are not FAIR with their customers. The mortgage company keeps this up so they can file foreclosure and take my home.",Closed with explanation,1468,23
2055488,2024-08-11,Kredietregistratie,XXXX is paid in full please removed from my credit report,Closed with explanation,57,23
