ID,Datum_ontvangst,Product,Omschrijving,Antwoord_bedrijf
1671342,2023-11-25,Hypotheek,"First Issue : Loan # with Chase XXXX the XXXX XXXX # IS XXXX. This is a Mortgage with Chase, which I believe has already been paid off through Securitization. Has is Mortgage or Note ever been Securitized. When original mortgage was done. The Note which is the Property of XXXX XXXX Not the banks. 
Second Issue : I have repeatedly asked that the sale date be removed because this is duel processing which is in violation of the HAMP ruled attached. This file is currently in review for a HAMP Modification with Chase and has an Escalation opened with chase and an office of the president file opened Sale date of XXXX/XXXX/2015 which is still open. 
Third issue : Single point of contact and request for Documents. XXXX XXXX has had XXXX. XXXX single points of contact and provided all doc 's requested in writing from chase. The main problem is that every time the file changes Single points of contact the information from the last Single point of contact seams to get lost and not forwarded to the new single point of contact.",Closed with explanation
2172072,2024-10-20,Hypotheek,"We have initiated a short sale request with the XXXX Lien holder CIT Bank XXXX in order for to get a review for a Short Sale Approval from the XXXX Lien holder they have requested we provide them with the payoff from the XXXX Lien holder. A payoff was requested Monday, XXXX XXXX and the turn around was 5 days or XXXX, 2016. In our follow up they moved the completion deadline to Monday, XXXX XXXX, 2016 and CIT Bank set another deadline to Tuesday, XXXX XXXX, 2016. During our follow up yesterday, XXXX XXXX XXXX, 2016 they said they could n't provide a payoff because the loan number was incomplete. We compared our request to the loan number on an old statement and the loan number used to initiate the short sale and they all match. We have made several phone calls and have been transferred multiple times and we have no cooperation.",Closed with explanation
1716138,2023-12-24,Creditcard,"Discover card offers a price protection guarantee for items purchased using the card whose price drops within 90 days of purchase. I purchased a number of iPads that later dropped in price, but the company to whom Discover outscources their claims service, XXXX, refuses to pay out on the claim. The reason cited is that there is an exclusion for paying on no more than XXXX of any identical item. I purchased XXXX iPad mini 4 XXXX in Space Gray, and XXXX iPad mini 4 XXXX in Gold, and I have been told that only XXXX of these qualify ; the terms exclude size or color in the determination. However, in looking at DIscover 's terms and conditions listed on their website, I was only able to find the following sentence : "" Coverage is limited to XXXX of an identical item with a limit of XXXX refund per eligible item. '' Nothing about color or size. The XXXX different types of items have different model numbers, are discounted independently from oneanother ( there was a sale at staples where silver iPad mini 4 XXXX were not discounted but the other colors were ). By any reasonable reading of that sentence, one would conclude the items are not identical.",Closed with monetary relief
1335737,2023-04-17,Consumentenkrediet,THE LENDER REJECTED BECAUSE I AM ONDEBT CONSOLIDATION.,Closed with explanation
1691775,2023-12-10,Hypotheek,"Greetings, my complaint involves Flagstar Bank, who has put us in a modification purgatory for the last several years, now has sent letter via lawyers that house again in foreclosure. We had entered into our XXXX trial period and completed the 3 month trial period and have n't been contacted since XXXX of XXXX are at wits end with the whole process while accruing penalties, late fees, etc.",Closed with explanation
2279224,2025-01-06,Consumentenkrediet,"I leased a Nissan in XXXX and traded it in XXXX XXXX, 2 months before when my lease had ended. The dealership paid off the lease in full on XXXX XXXX, XXXX. On XXXX XXXX, XXXX a woman contacted my nephew and wanted my phone number and said that I needed to fill out paper work from Nissan. I contacted the woman immediately and informed her that I traded car in XXXX and car lease was paid in full. She said that I have n't paid payments on the car and she will let her supervisor now that I no longer had car and she will call me back. I checked my credit report in XXXX XXXX and discovered that the company had my credit lowered stating that I was 3 months behind on payments. I contacted the car company and I was informed that the car is missing and I am liable.",Closed with explanation
1455548,2023-07-07,Bankrekening,"I had a Debit Card ending on XXXX witch was cancel most likely more than XXXX month ago. 
This Debit card number was cancelled by me, when i ask to be issue another Debit Card ending on XXXX. 
A company name XXXX witch i make business in the past, have in record my old cancelled debit card ending on XXXX. 
Citibank fail to protect my account allowing a transaction go through with this cancel old debit card number. i call City Bank and ask for intermediately refunds of my funds since they as an institution allowed this to happens by not been properly canceling the old debit card. Call second time and was transferred to the Corporate Support Team where XXXX told me that the case was file and just have to wait. Because of this Bank Mistake my account is in Negative and now I can not perform any transaction in my account causing me an inconvenience situation and frustration no allowing me to take my money out to support my family.",Closed with explanation
2132344,2024-09-26,Incasso,"Continuing to receive letters and have derogatory information posted by Apex Asset Management. The debt is not mine. Additionally, they are not licensed to practice credit collection in Florida. I have complained to the attorney general here in Florida as well. They are trying to collect {$130.00}. I sent them an initial letter asking for validation of the debt. Subsequently, I sent them a letter informing them of non licensure and asked for immediate removal of the item.",Closed with explanation
2092461,2024-09-01,Incasso,"I started making payments through the online website speedycash.com for a debt that was owed. When I made the payments to them they provided a collection company XXXX my credit card information and the company withdraw XXXX from my account without my permission. I spoke with both companies about the unauthorized charge, and they state there is nothing that can be done after money was taken fraudulently. I never setup an agreement with XXXX or spoken with them about the case. The funds should be placed back into my account, because XXXX received information that should not have been provided to them to collect a debt. Speedycash states on every call they no longer have the case, and everything was done by their 3rd party company. If this was done to me I know it 's being done to others trying to repay debts that are owed.",Closed with explanation
2277048,2025-01-05,Hypotheek,I am requesting a foreclosure postponement so the servicer can review all loss mitigation options. I have a full short sale offer pending that they have not reviewed. the servicer has not assisted me. The impending auction has become intensely stressful. I am only requesting a XXXX stay and they are denying me that option.,Closed with explanation
1383084,2023-05-19,Consumentenkrediet,"I had a previous auto loan contract for a defective Certified Pre Owned car that was in an undisclosed vehicle accident prior to be listed for sale and falsely certified as a Certified Pre-Owned car. I also had contract void issues due to the contract not being fully signed. Selling auto dealership refused to buy back the vehicle at time of original sale ( which was purchased out of state and online in XXXX while I resided in XXXX ). I had contacted financial provider, who refused to initiate a vehicle contract void, and used predatory practices to threaten me with damage to my credit if I did not continue to send in monthly payments. I did make all payments to the financial auto loan servicer to protect my credit, and kept contacting dealership, manufacturer and financial loan provider to return car and refund money. I filed with the XXXX, XXXX Attorney General, XXXX Attorney General and used the dealerships own biased arbitration clause to exhaust all possible remedies to no avail. At the time of warranty being close to expiration and with over XXXX different warranty repair history and car still not free of defects, arrangements and notice was given to financial provider that car was going to be returned to the local authorized brand dealership due to car still having leaks, mechanical failures, engine issues that were not repairable. Instead, financial loan provider is reporting a false charge off to my credit reporting bureaus and had refused to refund my {$24000.00} plus {$8000.00} attorney fees. It is falsely reporting a negative account charge off and this is predatory and a violation of the Fair Credit Act. My credit needs to be in compliance with the Fair Credit Act, the loan provider is prohibited from using predatory and exploitation in credit reporting and retaining funds and demanding payments and refusing to void contract from the beginning. All payments were sent on time to protect my credit and I was told that the car was mine, and I was responsible even though it was not a Certified Pre Owned car, but was instead a previous collision vehicle that was falsely labeled as a CPO, when it had front end damage prior to sale, which the dealership concealed and sold the car anyway as a CPO, when it was not.",Closed with explanation
1372229,2023-05-12,Incasso,"Received a call from an very rude gentleman saying that a debt was owed and if I did not respond within 2 hours, they would issue a warrant for my arrest. I asked what the debt was about, they referred me to an alleged attorney 's office. Attorney name was XXXX XXXX XXXX. Phone # XXXX XXXX XXXX. Spoke with them. Asked them to provide me a copy of the debt. They said they did not have that info and they referred me to a company call XXXX in XXXX XXXX, CA. Phone # XXXX XXXX XXXX. The attorney said that this is the company who owned the debt. Called that number. The lady answering the phone was extremely rude. I told her i was calling to try to resolve the debt in question. She had faxed me a credit card authorization form and a letter stating that the debt was due today. She told me that if the debt was not paid, they would have me arrested. I explained that i didnt want to give them credit card information and asked if i could pay with money order or certified check from my bank. She said no, credit card only. I told her i wasnt giving her a credit card and she said then i would just suffer the consequences. I asked her for a written validation notice ... she said "" you owe the debt, just pay it ''.",Closed with explanation
2394845,2025-03-20,Incasso,"Collection agency harassing me and filing fraudulent information to credit bureau for monies owed to an apartment complex I never lived at. 

I have provided them with proof of my correct residency during the time in question as well as the XXXX XXXX XXXX police report number where I filed a complaint for identity theft. 

They have not contacted me since I supplied the police report number but continue to post negative filings with credit bureau.",Closed with explanation
2349560,2025-02-17,Incasso,ENHANCED RECOVERY CO has damage my financial life by reporting falls information to the credit bureaus for an account is not even mine,Closed
2418283,2025-04-05,Hypotheek,"RE : Loan Transfer from CitiMortgage to XXXX There is a discrepancy in the current principal amount. Citimortgage shows the current principal amount as {$89000.00} and XXXX shows the current principal amount as {$89000.00}. The difference is {$310.00}. Please have Citimortgage show me the calculation, and explain the reason that the principal amount has increased during the transfer to XXXX.",Closed with explanation
2415269,2025-04-02,Incasso,"In XX/XX/2011, I developed a XXXX and found myself in numerous emergency rooms. In every case, I asked if I would be held responsible any costs of treatment, that they had other programs available that would take care of any cost for my visit. I was told that the main importance was that I receive the proper medical care for my XXXX. I just discovered that this Emergency hospital visit has been deferred to a collection agency.",Closed with explanation
1934446,2024-05-20,Consumentenkrediet,They took out {$150.00} on XXXX different occasions without my consent.,Closed with explanation
